ID	Waveform	Period	Phase	Nadir	Tau	P
1.263863450956549	cosine	24.0	18.0	14.0	0.24681106781724876	0.04554533424377086
-0.17045729816234106	cosine	24.0	18.0	20.0	0.18118348213186988	0.10741654185240362
-0.5405897536082007	cosine	24.0	18.0	12.0	0.1985508825279509	0.08702857063002639
2.0498135487370215	cosine	24.0	6.0	16.0	0.2124670414275315	0.07289658589843155
-1.1597588845867672	cosine	24.0	0.0	22.0	0.21979349113192914	0.06619938366322035
-0.9541187179366809	cosine	24.0	12.0	4.0	0.2961732509482417	0.02130021087103255
1.0015825309890485	cosine	24.0	12.0	18.0	0.48534660173499106	0.0004457694404340876
0.439880765905289	cosine	24.0	18.0	14.0	0.23944357325553983	0.05058223589567321
0.6528600579521423	cosine	24.0	20.0	16.0	0.25738077364734374	0.03903189065418176
-0.15223558231361795	cosine	24.0	22.0	20.0	0.2583465585551994	0.03847661585264555
0.5820019465024613	cosine	24.0	22.0	20.0	0.3173972005106735	0.014893695995628085
-0.6948204258221194	cosine	24.0	0.0	2.0	0.14024527464425107	0.16849709470074392
-1.528143026967771	cosine	24.0	22.0	20.0	0.39859183319945046	0.003178592823322213
0.07899736381109086	cosine	24.0	16.0	18.0	0.09244055210809687	0.2634159933036787
0.5719736586394352	cosine	24.0	22.0	6.0	0.2522957322892429	0.04206404605218764
-1.261395207914617	cosine	24.0	22.0	20.0	0.2583465585551994	0.03847661585264555
-0.5182154311729843	cosine	24.0	8.0	6.0	0.2583465585551994	0.03847661585264555
-0.37053653074052445	cosine	24.0	12.0	10.0	0.2066772468441595	0.07854663026645384
-1.1085326395920758	cosine	24.0	10.0	8.0	0.2731092190440679	0.030762062328506853
1.3579543863016528	cosine	24.0	0.0	22.0	0.3296902366978937	0.01200202793833976
1.5679991522437275	cosine	24.0	2.0	0.0	0.30263454002180495	0.019140153805216078
-0.11758656486579197	cosine	24.0	16.0	12.0	0.20997359500870416	0.07529048637923798
-1.68918481422956	cosine	24.0	20.0	16.0	0.12501351862870982	0.19604191800898463
-0.1385286402650003	cosine	24.0	14.0	16.0	0.2952532097773707	0.02162395005989455
-0.03337988939579521	cosine	24.0	2.0	22.0	0.3559926678902488	0.0074021542409467705
